faa,name,city,state,lat,lon,alt
ORF,Norfolk International,Norfolk,VA,36.8953,-76.201,26
ORH,Worcester Regional,Worcester,MA,42.2673,-71.8757,1009
PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,26.6832,-80.0956,19
PDX,Portland International,Portland,OR,45.5887,-122.598,31
PHL,Philadelphia International,Philadelphia,PA,39.8719,-75.2411,36
PHX,Phoenix Sky Harbor International,Phoenix,AZ,33.4353,-112.0059,1135
PIT,Pittsburgh International,Pittsburgh,PA,40.4915,-80.2329,1203
PSE,Mercedita,Ponce,PR,18.0083,-66.563,29
PSP,Palm Springs International,Palm Springs,CA,33.8297,-116.507,477
PVD,Rhode Island Tf Green International,Providence,RI,41.725,-71.4257,55
PWM,Portland International Jetport,Portland,ME,43.6462,-70.3093,76
RDU,Raleigh-Durham International,Raleigh/Durham,NC,35.8787,-78.7873,435
RIC,Richmond International,Richmond,VA,37.5052,-77.3197,167
RNO,Reno/Tahoe International,Reno,NV,39.4991,-119.768,4415
ROA,Roanoke Blacksburg Regional,Roanoke,VA,37.3255,-79.9754,1175
ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,43.1189,-77.6724,559
RSW,Southwest Florida International,Fort Myers,FL,26.5347,-81.7528,30
SAN,San Diego International,San Diego,CA,32.7336,-117.19,17
SAT,San Antonio International,San Antonio,TX,29.5337,-98.4698,809
SAV,Savannah/Hilton Head International,Savannah,GA,32.1266,-81.2,50
SBN,South Bend International,South Bend,IN,41.7083,-86.3169,799
SDF,Louisville Muhammad Ali International,Louisville,KY,38.1706,-85.7351,501
SEA,Seattle/Tacoma International,Seattle,WA,47.4479,-122.3103,433
SFO,San Francisco International,San Francisco,CA,37.6198,-122.3748,13
SJU,Luis Munoz Marin International,San Juan,PR,18.4394,-66.0018,9
SLC,Salt Lake City International,Salt Lake City,UT,40.7889,-111.9799,4227
SMF,Sacramento International,Sacramento,CA,38.6954,-121.591,27
SNA,John Wayne Airport-Orange County,Santa Ana,CA,33.6751,-117.8693,56
SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,27.3946,-82.5544,30
STL,St Louis Lambert International,St. Louis,MO,38.7487,-90.37,618
STT,Cyril E King,Charlotte Amalie,VI,18.3371,-64.9773,23
SYR,Syracuse Hancock International,Syracuse,NY,43.1112,-76.1063,421
TPA,Tampa International,Tampa,FL,27.9755,-82.5332,26
TUL,Tulsa International,Tulsa,OK,36.1971,-95.8862,677
TVC,Cherry Capital,Traverse City,MI,44.7414,-85.5822,624
TYS,McGhee Tyson,Knoxville,TN,35.811,-83.994,981
VPS,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,30.4813,-86.5158,87
VRB,Vero Beach Regional,Vero Beach,FL,27.6556,-80.4179,24
XNA,Northwest Arkansas National,Fayetteville,AR,36.2819,-94.3068,1287
